,Z1_Money,Z2_Liquidity,Z3_Inflation,Z4_Economy,Z5a_Trend,Z5b_Mom,Z5c_VIX,Z5d_Credit,ContScore,Position,QQQ_weight
2005-01-01,,,,,,,,,,,
2005-01-02,,,,,,,,,,,
2005-01-03,,,,,,,,,,,
2005-01-04,,,,,,,,,,,
2005-01-05,,,,,,,,,,,
2005-01-06,,,,,,,,,,,
2005-01-07,,,,,,,,,,,
2005-01-08,,,,,,,,,,,
2005-01-09,,,,,,,,,,,
2005-01-10,,,,,,,,,,,
2005-01-11,,,,,,,,,,,
2005-01-12,,,,,,,,,,,
2005-01-13,,,,,,,,,,,
2005-01-14,,,,,,,,,,,
2005-01-15,,,,,,,,,,,
2005-01-16,,,,,,,,,,,
2005-01-17,,,,,,,,,,,
2005-01-18,,,,,,,,,,,
2005-01-19,,,,,,,,,,,
2005-01-20,,,,,,,,,,,
2005-01-21,,,,,,,,,,,
2005-01-22,,,,,,,,,,,
2005-01-23,,,,,,,,,,,
2005-01-24,,,,,,,,,,,
2005-01-25,,,,,,,,,,,
2005-01-26,,,,,,,,,,,
2005-01-27,,,,,,,,,,,
2005-01-28,,,,,,,,,,,
2005-01-29,,,,,,,,,,,
2005-01-30,,,,,,,,,,,
2005-01-31,,,,,,,,,,,
2005-02-01,,,,,,,,,,,
2005-02-02,,,,,,,,,,,
2005-02-03,,,,,,,,,,,
2005-02-04,,,,,,,,,,,
2005-02-05,,,,,,,,,,,
2005-02-06,,,,,,,,,,,
2005-02-07,,,,,,,,,,,
2005-02-08,,,,,,,,,,,
2005-02-09,,,,,,,,,,,
2005-02-10,,,,,,,,,,,
2005-02-11,,,,,,,,,,,
2005-02-12,,,,,,,,,,,
2005-02-13,,,,,,,,,,,
2005-02-14,,,,,,,,,,,
2005-02-15,,,,,,,,,,,
2005-02-16,,,,,,,,,,,
2005-02-17,,,,,,,,,,,
2005-02-18,,,,,,,,,,,
2005-02-19,,,,,,,,,,,
2005-02-20,,,,,,,,,,,
2005-02-21,,,,,,,,,,,
2005-02-22,,,,,,,,,,,
